from	to
FCER1A	OAZ3
FCER1A	RNF5P1
FCER1A	WDR75
FCER1A	ZNF124
FCER1A	NDUFV1
FCER1A	HMGB1
FCER1A	TECR
FCER1A	EEFSEC
FCER1A	PIPOX
FCER1A	VDAC3
FCER1A	ARL2
FCER1A	XYLB
FCER1A	TGOLN2
FCER1A	GNL2
FCER1A	AKAP1
FCER1A	HNRNPUL2
FCER1A	TROVE2
FCER1A	QARS
FCER1A	METTL3
FCER1A	SMARCA4
FCER1A	MYO1C
FCER1A	NEFH
FCER1A	TUBGCP2
FCER1A	ANK1
FCER1A	ZNF705A
FCER1A	MTFR1
FCER1A	DDX51
FCER1A	PIGZ
FCER1A	MCM3
FCER1A	TMEM30A
FCER1A	C14orf80
FCER1A	ADAM19
FCER1A	CTTNBP2
FCER1A	FARP1
FCER1A	SLC7A8
FCER1A	HSF4
FCER1A	RTKN
FCER1A	STK32C
FCER1A	SLC46A3
FCER1A	KIAA0100
FCER1A	RFXAP
FCER1A	PACS2
FCER1A	ACAP3
FCER1A	HLA-DPA1
FCER1A	ICA1L
FCER1A	APRT
FCER1A	VARS
FCER1A	ZNF48
FCER1A	NOC2L
FCER1A	ACTL6A
FCER1A	PRSS3
FCER1A	LRSAM1
CYBB	IRF1
CYBB	GPC4
CYBB	CLEC4D
CYBB	PAG1
CYBB	PCNX
CYBB	F3
CYBB	ACSL1
CYBB	TMEM140
CYBB	NAMPT
CYBB	PGAM1
CYBB	SLC22A15
CYBB	OTUD1
CYBB	HIVEP1
CYBB	TRIM22
CYBB	DLEU7
CYBB	C12orf57
CYBB	LYZ
CYBB	SAT1
CYBB	SLC9A1
CYBB	TANK
CYBB	RASGEF1B
CYBB	NPC1
CYBB	CCNL1
CYBB	HAX1
CYBB	SLC15A4
CYBB	HDAC4
CYBB	NFKBIZ
CYBB	AKAP2
CYBB	RAB8B
CYBB	C18orf54
CYBB	CCDC109B
CYBB	TDRD9
CYBB	BIN3
CYBB	PDK3
CYBB	RPA2
CYBB	TMEM132A
CYBB	ZFAND2A
CYBB	HSPA13
CYBB	PTGER4
CYBB	USP42
CYBB	GBP6
GATM	CD1B
GATM	MS4A6A
GATM	CHN2
GATM	ABCC4
GATM	RAB33A
GATM	LIPA
GATM	METTL7A
GATM	MOCOS
GATM	CD200R1
GATM	GLS
GATM	CLEC4A
GATM	SPINT2
GATM	C20orf27
GATM	RASAL1
GATM	ARHGEF6
GATM	FRMD4A
GATM	P2RY11
GATM	PAQR4
GATM	PGA5
GATM	SERPINF1
GATM	GOLPH3L
GATM	SNX29
GATM	KIAA0391
GATM	MRPS25
GATM	LRMP
GATM	REEP5
GATM	SLC46A2
GATM	TRIM32
GATM	TDRKH
GATM	DOCK2
GATM	TMEM123
GATM	MFSD3
GATM	ZNF256
GATM	PIK3R1
GATM	TPRG1L
GATM	TRIT1
GATM	PPIC
GATM	PUS7L
GATM	NPEPPS
GATM	TPST2
GATM	ZFYVE21
GATM	NCKAP1L
GATM	NOL12
GATM	HCN3
GATM	DOCK10
GATM	TIGD5
GATM	NIPA1
GATM	HYLS1
GATM	ZNF516
GATM	TTYH2
GATM	ABHD15
GATM	SNRPN
GATM	YPEL1
GATM	MMACHC
GATM	NFIA
GATM	UBL3
GATM	TRIM68
GATM	IKBKB
GATM	P2RY14
GATM	SLC25A42
GATM	BCL9
GATM	CDK10
GATM	RNF125
GATM	MPHOSPH9
GATM	WDR75
GATM	ZNF512
GATM	BUB3
GATM	SNAPC4
GATM	VDAC3
GATM	GSPT2
GATM	TGOLN2
GATM	GTPBP3
GATM	MZF1
GATM	AGGF1
GATM	GNL2
GATM	LRRC14
GATM	HNRNPUL2
GATM	CLIC3
GATM	TROVE2
GATM	METTL3
GATM	MYO1C
GATM	POMT2
GATM	TBC1D13
GATM	ANK1
GATM	ZNF705A
GATM	CPSF4
GATM	ACAD9
GATM	ZNF835
